Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0603_1608_DensityHigh",45.400000,34.400000,0.000000,top
"C2","10nF","C_0603_1608_DensityHigh",45.400000,36.000000,180.000000,top
"C3","100nF","C_0603_1608_DensityHigh",7.200000,26.000000,180.000000,top
"C4","10uF","C_0603_1608_DensityHigh",25.050000,23.900000,-90.000000,top
"C5","10uF","C_0603_1608_DensityHigh",41.100000,23.900000,-90.000000,top
"C6","10uF","C_0603_1608_DensityHigh",25.050000,21.000000,90.000000,top
"C7","10uF","C_0603_1608_DensityHigh",41.100000,21.050000,90.000000,top
"FID1","Fiducial Marker","Fiducial_1mm_Mask2mm",10.000000,55.000000,0.000000,top
"FID2","Fiducial Marker","Fiducial_1mm_Mask2mm",60.000000,55.000000,0.000000,top
"FID3","Fiducial Marker","Fiducial_1mm_Mask2mm",10.000000,10.000000,0.000000,top
"R1","470kR","R_0603_1608_DensityHigh",52.100000,38.100000,90.000000,top
"R2","390kR","R_0603_1608_DensityHigh",54.100000,38.100000,-90.000000,top
"R3","51R","R_0603_1608_DensityHigh",41.185000,63.000000,180.000000,top
"R5","4.7kR","R_0603_1608_DensityHigh",14.900000,28.900000,180.000000,top
"R6","470R","R_0603_1608_DensityHigh",28.240000,15.460000,0.000000,top
"R7","120R","R_0603_1608_DensityHigh",31.240000,15.460000,0.000000,top
"R8","470R","R_0603_1608_DensityHigh",44.240000,15.460000,0.000000,top
"R9","120R","R_0603_1608_DensityHigh",47.240000,15.460000,0.000000,top
"R10","10kR","R_0603_1608_DensityHigh",15.750000,35.375000,90.000000,top
"R11","10kR","R_0603_1608_DensityHigh",13.950000,35.375000,90.000000,top
"R12","51kR","R_0603_1608_DensityHigh",7.200000,34.800000,0.000000,top
