Designator,Footprint,Quantity,Value,JLCPCB Part #
C1,C_0402_1005_DensityHigh,1,4.7uF,CL05A475MP5NRNC
"C10, C11, C12, C13, C14, C4, C5, C6, C7, C8, C9",C_0402_1005_DensityMedium,11,100nF,CL05B104KO5NNNC
C15,C_0402_1005_DensityMedium,1,4.7uF,CL05A475MP5NRNC
"C16, C17",C_0402_1005_DensityMedium,2,15pF,0402CG150J500NT
"C18, C19, C22, C23, C27, C28, C29, C30, C31, C32, C33, C34",C_0603_1608_DensityHigh,12,100nF,CC0603KRX7R9BB104
"C2, C3",C_0402_1005_DensitySpaced,2,4.7uF,CL05A475MP5NRNC
"C25, C26",C_0603_1608_DensityHigh,2,4.7uF,CL10A475KO8NNNC
D1,D_SOD-323,1,1N4148WS,1N4148WS
D3,D_SOD-123,1,~,B5819W SL
"J1, J2",DF11-10DS-2DSA,2,DF11-10DS-2DSA,DF11-10DS-2DSA
L1,L_AOTA_B20_2016,1,3.3uH,AOTA-B201610S3R3-101-T
Q1,SOT-23,1,MMBT5551,MMBT5551
"R1, R2",R_0603_1608_DensityHigh,2,27R,0603WAF270JT5E
"R10, R11",R_0603_1608_DensityHigh,2,4.7kR,0603WAF4701T5E
"R12, R13",R_0603_1608_DensityHigh,2,5.1kR,0603WAF5101T5E
"R14, R7, R8",R_0603_1608_DensityHigh,3,51R,0603WAF510JT5E
"R15, R16",R_0603_1608_DensityHigh,2,220R,0603WAF2200T5E
R17,R_0603_1608_DensityHigh,1,120R,0603WAF1200T5E
"R18, R19, R20",R_1206_3216_DensityHigh_Large,3,0.1R,1206W4F100LT5E
R21,R_0603_1608_DensityHigh,1,120kR,0603WAF1203T5E
R22,R_0603_1608_DensityHigh,1,13kR,0603WAF1302T5E
R3,R_0402_1005_DensityHigh,1,33R,0402WGF330JTCE
R4,R_0603_1608_DensityHigh,1,10kR,0603WAF1002T5E
"R5, R6, R9",R_0402_1005_DensityMedium,3,1kR,0402WGF1001TCE
U1,RP2350B_80QFN,1,RP2350B,RP2350B
