"#","Reference","Value","Description","Datasheet","Footprint","Qty","DNP","Supplier","MPN","Order Code","Price Per","Min Qty","Supplier Link"
"1","F1,F2","Fuse","SMD 1210 1A Fuse","http://www.farnell.com/datasheets/4600748.pdf","0_Power:Fuse_1210_3225Metric","2","","Farnell","SMD1210B075TF/24","4072044","0.12","5","https://uk.farnell.com/yageo/smd1210b075tf-24/pptc-reset-fuse-smd-24vdc-1210/dp/4072044"
"2","J1","XT30_THT_H","Rectangular Power Connector, 2 Contacts, MP XT Series, PCB Mount, Through Hole Right Angle, 5 mm -20C to +120C","http://www.farnell.com/datasheets/4023298.pdf","0_Connectors:XT30_THT_H","1","","Farnell","MP011756","4220281","0.39","5","https://uk.farnell.com/multicomp-pro/mp011756/rect-pwr-conn-r-a-plug-2pos-pcb/dp/4220281"
"3","J2","Molex_Block_01x02","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","~","0_Connectors:Molex_2060","1","","Farnell","2060-452/998-404","2499130","0.76","1","https://uk.farnell.com/wago/2060-452-998-404/terminal-block-wire-to-brd-2pos/dp/2499130"
"4","J3,J4,J5","502352-0301","DuraClik Wire-to-Board Header, Single Row, Right-Angle,  Circuits, Tin (Sn) Plating, Black","https://www.molex.com/pdm_docs/sd/5023520601_sd.pdf","0_Connectors:502352_0301","3","","Farnell","502352-0301","3365016","0.84","10","https://uk.farnell.com/molex/502352-0301/wtb-conn-header-r-a-3pos-1row/dp/3365016"
"5","J6,J7","DF11-10DP-2DSA","Hirose DF11, 2mm Pitch, 10 Way, 2 Row, Straight PCB Header, Through Hole","https://www.hirose.com/product/document?clcode=CL0543-0544-8-52&productname=DF11-26DP-2DS(52)&series=DF11&documenttype=Catalog&lang=en&documentid=D31688_en","0_Connectors:DF11-10DP-2DSA","2","","Farnell","DF11-10DP-2DSA(24)","1688345","0.6","10","~"
"6","LED1","Red","Red SMD LED, 0603","~","0_Passives:LED_0603_1608Metric","1","","Farnell","MP008277","3796306","0.13","5","~"
"7","S1","SPST_1101M2S3AQE2","PCB Slide Switch Single Pole Double Throw (SPDT) Latching 6 A @ 120 V ac, 6 A @ 28 V dc Slide","https://www.ckswitches.com/media/1429/1000.pdf","0_Power:1101M2S3AQE2","1","","Farnell","~","~","~","~","https://uk.farnell.com/c-k-components/1101m2s3aqe2/slide-switch-spdt-r-a-on-on/dp/1437701"
"8","U1","NCP1117_3.3","1A Low drop-out regulator","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","0_Power:SOT-223-3_TabPin2","1","","Farnell","NCP1117LPST33T3G","2534283","1.91","5","https://uk.farnell.com/on-semiconductor/ncp1117lpst33t3g/ldo-fixed-3-3v-1a-sot-223-3/dp/2534283"
"9","U2","BV1HJ180EFJ-C","Power Load Distribution Switch","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/ipd/bv1hj180efj-c-e.pdf","0_Power:HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm","1","","Farnell","BV1HJ180EFJ-CE2","4137626","0.96","1","https://uk.farnell.com/rohm/bv1hj180efj-ce2/power-load-sw-high-side-40-to/dp/4137626"
"10","U3,U4","MIC29302AWD","3A low dropout linear regulator, adjustable output, TO-252","https://ww1.microchip.com/downloads/en/devicedoc/20005685a.pdf","0_Power:TO-252-5_TabPin3","2","","Farnell","MIC29302AWD-TR","2857615","2.28","1","https://uk.farnell.com/microchip/mic29302awd-tr/ldo-adj-1-25-15v-3a-to-252-5/dp/2857615"
